JobTitle_TechTopic,id,interviewQuestionCount,interviewReviewCount,name,averageOverallDifficulty,overallDifficultyCount,overallExperienceCount,overallPosExperiencePercent,overallPosExperienceCount,overallNeutExperiencePercent,overallNeutExperienceCount,overallNegExperiencePercent,overallNegExperienceCount
Inside Sales,1651,5,5,Microsoft,2.3333333,6,6,66.66667,4,16.666668,1,16.666668,1
Inside Sales,100286,4,5,SolarWinds,3.2,5,5,100,5,0,0,0,0
Inside Sales,929006,2,2,Teamwork.com,3,5,5,100,5,0,0,0,0
Inside Sales,9777,6,2,SonicWall,2.6666667,3,4,50,2,0,0,50,2
Inside Sales,5944,2,2,TTEC,3,4,4,25,1,50,2,25,1
Inside Sales,475075,2,2,Veeam Software,3.25,4,4,75,3,0,0,25,1
Procurement Specialist,377,0,1,Kellogg Company,3.3513513,37,35,82.85715,29,5.714286,2,11.428572,4
Procurement Specialist,7438,1,1,Diageo,3.3939395,33,33,72.72727,24,9.090909,3,18.181818,6
Technology Business Analyst,8843,1,1,Citi,3.3513513,37,35,82.85715,29,5.714286,2,11.428572,4
Digital Marketing Manager,354,1,1,IBM,3.3513513,37,35,82.85715,29,5.714286,2,11.428572,4
Digital Marketing Manager,8843,1,1,Citi,3.3939395,33,33,72.72727,24,9.090909,3,18.181818,6
Digital Marketing Manager,657047,1,1,The Louis Fitzgerald Group,3.5,8,7,28.57143,2,0,0,71.42857,5
Technical writer,673066,1,1,FÃ¡ilte Ireland,3.3513513,37,35,82.85715,29,5.714286,2,11.428572,4
Technical writer,197851,3,1,Workday,3.3939395,33,33,72.72727,24,9.090909,3,18.181818,6
Technical writer,12830,1,1,VMware,3.5,8,7,28.57143,2,0,0,71.42857,5
Technical writer,1759301,1,1,TradeIX,3.3333333,6,6,50,3,16.666668,1,33.333336,2
Technical writer,37680,1,1,Openet,2.3333333,6,6,66.66667,4,16.666668,1,16.666668,1
Graduate Civil Engineer,35607,1,1,Mott MacDonald,3.3513513,37,35,82.85715,29,5.714286,2,11.428572,4
Accountant,285406,38,29,HedgeServ,3.3513513,37,35,82.85715,29,5.714286,2,11.428572,4
Accountant,1911,27,25,State Street,3.3939395,33,33,72.72727,24,9.090909,3,18.181818,6
Accountant,78,6,7,BNY Mellon,3.5,8,7,28.57143,2,0,0,71.42857,5
Accountant,10487,6,6,Kerry,3.3333333,6,6,50,3,16.666668,1,33.333336,2
Accountant,11972,6,6,Glanbia plc,2.3333333,6,6,66.66667,4,16.666668,1,16.666668,1
Accountant,227523,5,5,Citco,3.2,5,5,100,5,0,0,0,0
Accountant,10342,2,2,BNP Paribas,3,5,5,100,5,0,0,0,0
Accountant,2151,2,2,AOL,2.6666667,3,4,50,2,0,0,50,2
